states,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia_,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,Puerto_Rico
South_Dakota,0,241,0,"2,073",797,0,0,0,"2,128",968,0,297,841,144,"3,275",906,57,408,0,144,0,150,"3,822",231,191,428,"3,735",56,56,0,299,359,188,"1,986",0,0,37,194,0,612,0,301,279,76,0,157,567,0,37,651,262
Tennessee,"1,137","2,886","4,841","9,682","5,410","1,784",53,203,"26,724","17,439","1,515",148,"9,857","4,928",588,796,"13,720","2,226",576,"1,470","3,592","4,814",375,"11,641","5,139",122,913,789,649,"2,231",366,"5,312","9,388",285,"6,273","2,130","2,314","2,504",183,"6,061","1,722",0,"12,046","1,186",77,"8,172","3,245","1,705","1,492",121,"1,615"
Texas,"2,375","18,628","14,377","86,164","21,509","3,762","1,275","1,059","37,262","14,235","7,986","3,494","19,241","9,704","6,379","12,049","3,841","29,108",815,"13,777","5,528","8,070","7,291","8,663","21,257","1,626","2,959","6,215","1,166","5,906","17,670","18,925","17,954","2,456","9,600","24,590","6,457","9,143",933,"8,806","1,979","12,229",0,"6,287",569,"18,731","16,855",924,"5,844","2,327","11,057"
Utah,494,"6,827",896,"18,025","4,181",720,61,149,"2,743","2,665","2,533","8,574","1,737",355,754,964,368,241,98,743,"1,909","1,477",531,216,977,"1,548",377,"4,383",269,646,"1,014","3,413",767,482,"1,382",127,"5,136","1,104",50,246,318,814,"7,528",0,0,"1,526","8,186",75,"1,346","1,534",0
Vermont,0,205,0,"1,380",649,"2,251",0,134,"2,105",170,98,0,75,31,53,0,740,24,455,357,"3,819",107,461,0,126,0,27,110,"2,877","1,343",101,"4,535",266,0,201,71,125,520,235,178,0,305,427,329,0,903,165,0,179,45,5
Virginia,"1,235","4,162","1,002","21,210","4,557","3,254","1,306","11,821","20,272","7,894","3,116",166,"7,025","2,259","1,388","1,875","2,431","2,609",535,"28,366","5,622","3,135","1,616","2,832","4,988",0,407,"1,198","1,464","9,605","1,394","17,983","23,916",470,"6,308","1,778",497,"13,013","1,810","8,776",223,"7,963","14,918","2,847",607,0,"6,404","2,423","1,631",266,"2,328"
Washington,"3,520","14,252",953,"55,467","10,122","1,785",131,"1,837","8,084","5,899","3,416","11,911","5,382","1,118",647,"1,318",475,"1,278",421,"4,526","4,418","3,607","2,131",614,"2,837","4,467","1,354","4,222",580,"4,488","1,950","7,539","5,432","1,414","3,080","3,423","31,642","3,105",225,"2,025",163,"2,567","18,425","7,466",8,"5,887",0,182,"3,381","1,237","1,477"
West_Virginia,0,272,288,524,798,639,419,328,"1,722",582,42,0,564,"1,227",0,113,"1,061",572,74,"3,876",384,321,70,0,71,0,0,27,0,546,35,640,"1,889",0,"7,299",49,135,"6,291",0,"2,329",45,"2,631",516,111,0,"6,646",185,0,437,0,220
Wisconsin,484,"2,883",292,"6,642","3,321",614,211,109,"5,593","2,016",449,129,"25,155","2,663","3,072","1,186","1,661",518,186,579,"1,160","4,737","19,632",559,"2,670",410,345,"1,350",251,"1,098","1,950","1,246","1,853",414,"3,759",790,"1,550","1,537",27,619,374,"1,330","3,977","1,252",110,869,"1,938",265,0,206,"2,285"
Wyoming,0,934,392,"1,604","5,632",12,0,0,"1,159",40,55,367,214,227,30,675,568,72,15,0,251,"1,117",59,65,914,"1,501",782,286,335,5,512,393,367,721,473,306,888,146,88,54,750,104,"1,354",911,0,197,373,118,29,0,119
